geoid,place,total_units,res_fiber_100_20,biz_fiber_100_20,biz_minus_res
3651000,"New York",3932926,0.7926,0.9959,0.2033
0644000,"Los Angeles",1693266,0.3721,0.3144,-0.0577
1714000,"Chicago",1316431,0.3333,0.337,0.0037
4835000,"Houston",1199820,0.5521,0.5983,0.0462
4260000,"Philadelphia",798578,0.8624,0.9587,0.0963
0455000,"Phoenix",704385,0.2712,0.4089,0.1377
4865000,"San Antonio",650002,0.7167,0.5928,-0.1239
4819000,"Dallas",645242,0.6217,0.642,0.0203
0666000,"San Diego",621901,0.4022,0.4108,0.0086
4805000,"Austin",551183,0.6824,0.5044,-0.178
1235000,"Jacksonville",499001,0.5432,0.4964,-0.0468
0667000,"San Francisco",463554,0.4396,0.4555,0.0159
3918000,"Columbus",453795,0.3555,0.353,-0.0025
3712000,"Charlotte",438377,0.685,0.6426,-0.0424
1836003,"Indianapolis city (balance)",436941,0.6138,0.6175,0.0037
4827000,"Fort Worth",418074,0.752,0.7544,0.0024
5363000,"Seattle",401923,0.7711,0.7829,0.0118
4752006,"Nashville-Davidson metropolitan government (balance)",398347,0.6885,0.6575,-0.031
0820000,"Denver",397593,0.6424,0.654,0.0116
1150000,"Washington",385672,0.6238,0.7943,0.1705
0668000,"San Jose",371578,0.3729,0.3865,0.0136
2507000,"Boston",352061,0.6979,0.9605,0.2626
4159000,"Portland",347591,0.7149,0.7256,0.0107
4055000,"Oklahoma City",338287,0.6561,0.6444,-0.0117
2622000,"Detroit",329166,0.2237,0.296,0.0723
4748000,"Memphis",317349,0.4382,0.4425,0.0043
2404000,"Baltimore",317127,0.1323,0.4297,0.2974
5553000,"Milwaukee",294188,0.5483,0.5745,0.0262
1304000,"Atlanta",289800,0.6024,0.5883,-0.0141
4824000,"El Paso",288243,0.5018,0.522,0.0202
3240000,"Las Vegas",285101,0.336,0.2683,-0.0677
3502000,"Albuquerque",281891,0.1654,0.1748,0.0094
0477000,"Tucson",274416,0.2543,0.2472,-0.0071
2938000,"Kansas City",257594,0.935,0.6396,-0.2954
0446000,"Mesa",255835,0.4575,0.3425,-0.115
7276770,"San Juan",249395,0.8696,0.8126,-0.057
3755000,"Raleigh",239777,0.7318,0.6409,-0.0909
0816000,"Colorado Springs",237513,0.5922,0.6166,0.0244
3137000,"Omaha",228399,0.7542,0.7255,-0.0287
0664000,"Sacramento",227858,0.5154,0.4639,-0.0515
1245000,"Miami",219165,0.6018,0.9454,0.3436
3916000,"Cleveland",215955,0.4629,0.4952,0.0323
0627000,"Fresno",214244,0.3184,0.3707,0.0523
2255000,"New Orleans",210566,0.4308,0.439,0.0082
5182000,"Virginia Beach",207038,0.6887,0.628,-0.0607
0653000,"Oakland",206454,0.813,0.8168,0.0038
4075000,"Tulsa",205314,0.5806,0.5756,-0.005
2079000,"Wichita",200879,0.7471,0.7487,0.0016
0643000,"Long Beach",193922,0.6836,0.1342,-0.5494
2743000,"Minneapolis",190756,0.7212,0.7464,0.0252
