geoid,place,total_units,biz_res,technology,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
0644000,"Los Angeles",1693266,R,Any Technology,1,1,1,0.5294
0644000,"Los Angeles",1693266,R,Fiber,0.3722,0.3721,0.3711,0.3682
0644000,"Los Angeles",1693266,R,Cable,0.9384,0.9384,0.9384,0.1044
0644000,"Los Angeles",1693266,R,Copper,0.291,0.1004,0.0011,0
0644000,"Los Angeles",1693266,R,All Fixed Wireless,0.898,0.7461,0.431,0.1745
0644000,"Los Angeles",1693266,B,Fiber,,0.3144,,
1714000,"Chicago",1316431,R,Any Technology,1,1,1,0.5449
1714000,"Chicago",1316431,R,Fiber,0.3333,0.3333,0.3333,0.3332
1714000,"Chicago",1316431,R,Cable,0.9919,0.9919,0.9919,0.3932
1714000,"Chicago",1316431,R,Copper,0.4436,0.2375,0,0
1714000,"Chicago",1316431,R,All Fixed Wireless,0.9006,0.6373,0.1361,0.0149
1714000,"Chicago",1316431,B,Fiber,,0.337,,
4835000,"Houston",1199820,R,Any Technology,1,1,1,0.8902
4835000,"Houston",1199820,R,Fiber,0.5521,0.5521,0.5521,0.5448
4835000,"Houston",1199820,R,Cable,0.9488,0.9488,0.9488,0.7491
4835000,"Houston",1199820,R,Copper,0.2578,0.0965,0.0002,0
4835000,"Houston",1199820,R,All Fixed Wireless,0.7567,0.551,0.1568,0
4835000,"Houston",1199820,B,Fiber,,0.5983,,
4865000,"San Antonio",650002,R,Any Technology,1,1,1,0.855
4865000,"San Antonio",650002,R,Fiber,0.7167,0.7167,0.7167,0.7167
4865000,"San Antonio",650002,R,Cable,0.9352,0.9352,0.9352,0.2038
4865000,"San Antonio",650002,R,Copper,0.2318,0.0486,0.0004,0.0004
4865000,"San Antonio",650002,R,All Fixed Wireless,0.8333,0.711,0.3287,0.0007
4865000,"San Antonio",650002,B,Fiber,,0.5928,,
4819000,"Dallas",645242,R,Any Technology,1,1,1,0.958
4819000,"Dallas",645242,R,Fiber,0.6217,0.6217,0.6217,0.621
4819000,"Dallas",645242,R,Cable,0.9275,0.9275,0.9275,0.9259
4819000,"Dallas",645242,R,Copper,0.2025,0.0766,0.0031,0.0006
4819000,"Dallas",645242,R,All Fixed Wireless,0.7349,0.503,0.1596,0
4819000,"Dallas",645242,B,Fiber,,0.642,,
0666000,"San Diego",621901,R,Any Technology,1,1,1,0.6816
0666000,"San Diego",621901,R,Fiber,0.4022,0.4022,0.4022,0.377
0666000,"San Diego",621901,R,Cable,0.8968,0.8968,0.8968,0.4691
0666000,"San Diego",621901,R,Copper,0.5255,0.1678,0,0
0666000,"San Diego",621901,R,All Fixed Wireless,0.8191,0.6546,0.2652,0.0435
0666000,"San Diego",621901,B,Fiber,,0.4108,,
1235000,"Jacksonville",499001,R,Any Technology,1,1,1,0.8174
1235000,"Jacksonville",499001,R,Fiber,0.5432,0.5432,0.5432,0.5395
1235000,"Jacksonville",499001,R,Cable,0.9623,0.9623,0.9623,0.5913
1235000,"Jacksonville",499001,R,Copper,0.2676,0.0577,0.0041,0
1235000,"Jacksonville",499001,R,All Fixed Wireless,0.7387,0.3951,0.012,0
1235000,"Jacksonville",499001,B,Fiber,,0.4964,,
0667000,"San Francisco",463554,R,Any Technology,1,1,1,0.7363
0667000,"San Francisco",463554,R,Fiber,0.4396,0.4396,0.4396,0.4376
0667000,"San Francisco",463554,R,Cable,0.9743,0.9743,0.9743,0.3345
0667000,"San Francisco",463554,R,Copper,0.2323,0.1098,0.0102,0.0102
0667000,"San Francisco",463554,R,All Fixed Wireless,0.9991,0.9951,0.988,0.2109
0667000,"San Francisco",463554,B,Fiber,,0.4555,,
1836003,"Indianapolis",436941,R,Any Technology,1,1,1,0.7961
1836003,"Indianapolis",436941,R,Fiber,0.6138,0.6138,0.6138,0.6038
1836003,"Indianapolis",436941,R,Cable,0.9802,0.9802,0.9802,0.3232
1836003,"Indianapolis",436941,R,Copper,0.4184,0.0818,0,0
1836003,"Indianapolis",436941,R,All Fixed Wireless,0.8816,0.6051,0.1663,0.1065
1836003,"Indianapolis",436941,B,Fiber,,0.6175,,
4827000,"Fort Worth",418074,R,Any Technology,1,1,1,0.9534
4827000,"Fort Worth",418074,R,Fiber,0.752,0.752,0.752,0.752
4827000,"Fort Worth",418074,R,Cable,0.8074,0.8074,0.8074,0.8064
4827000,"Fort Worth",418074,R,Copper,0.237,0.0513,0,0
4827000,"Fort Worth",418074,R,All Fixed Wireless,0.9582,0.8367,0.6584,0.0075
4827000,"Fort Worth",418074,B,Fiber,,0.7544,,
